gene_id_1,gene_id_2,cor,p_value,q_value
ENSMUSG00000030787,MSTRG.186,1,0,0
ENSMUSG00000034936,ENSMUSG00000021750,1,0,0
ENSMUSG00000029321,MSTRG.16922,1,0,0
ENSMUSG00000055116,ENSMUSG00000041238,1,0,0
ENSMUSG00000030711,ENSMUSG00000028475,0.995824616,1.54E-08,4.62E-06
ENSMUSG00000028862,ENSMUSG00000028475,0.995824616,1.54E-08,4.62E-06
MSTRG.7606,MSTRG.7797,1,0,0
MSTRG.7606,MSTRG.14846,1,0,0
ENSMUSG00000055368,ENSMUSG00000073758,1,0,0
ENSMUSG00000055368,ENSMUSG00000101799,1,0,0
ENSMUSG00000055368,ENSMUSG00000048368,1,0,0
ENSMUSG00000026395,ENSMUSG00000069793,1,0,0
ENSMUSG00000026395,ENSMUSG00000018654,1,0,0
ENSMUSG00000079293,ENSMUSG00000095379,1,0,0
ENSMUSG00000073758,ENSMUSG00000101799,1,0,0
ENSMUSG00000073758,ENSMUSG00000048368,1,0,0
ENSMUSG00000005483,ENSMUSG00000028410,1,0,0
MSTRG.16138,ENSMUSG00000025909,1,0,0
ENSMUSG00000071637,ENSMUSG00000032515,1,0,0
ENSMUSG00000069793,ENSMUSG00000018654,1,0,0
MSTRG.7797,MSTRG.14846,1,0,0
ENSMUSG00000104213,ENSMUSG00000026616,1,0,0
ENSMUSG00000028874,ENSMUSG00000032915,1,0,0
ENSMUSG00000028874,ENSMUSG00000040907,1,0,0
ENSMUSG00000028874,ENSMUSG00000037991,1,0,0
ENSMUSG00000027995,ENSMUSG00000051682,1,0,0
ENSMUSG00000027995,ENSMUSG00000041754,1,0,0
ENSMUSG00000025576,ENSMUSG00000001670,0.995824616,1.54E-08,4.62E-06
ENSMUSG00000101799,ENSMUSG00000048368,1,0,0
MSTRG.17986,MSTRG.11744,1,0,0
MSTRG.17986,MSTRG.22964,1,0,0
MSTRG.17986,MSTRG.9794,1,0,0
MSTRG.21075,MSTRG.23966,1,0,0
MSTRG.29456,MSTRG.24113,1,0,0
ENSMUSG00000112148,ENSMUSG00000023132,1,0,0
ENSMUSG00000047180,ENSMUSG00000052889,1,0,0
ENSMUSG00000032915,ENSMUSG00000040907,1,0,0
ENSMUSG00000032915,ENSMUSG00000037991,1,0,0
ENSMUSG00000027347,ENSMUSG00000000409,1,0,0
MSTRG.11744,MSTRG.22964,1,0,0
MSTRG.11744,MSTRG.9794,1,0,0
ENSMUSG00000046245,ENSMUSG00000063193,1,0,0
MSTRG.29974,ENSMUSG00000031538,1,0,0
MSTRG.22964,MSTRG.9794,1,0,0
ENSMUSG00000021624,ENSMUSG00000053063,1,0,0
ENSMUSG00000020826,ENSMUSG00000074141,1,0,0
ENSMUSG00000020826,ENSMUSG00000036067,1,0,0
ENSMUSG00000008496,ENSMUSG00000044827,0.995824616,1.54E-08,4.62E-06
ENSMUSG00000074141,ENSMUSG00000036067,1,0,0
ENSMUSG00000078763,ENSMUSG00000009185,1,0,0
ENSMUSG00000050370,ENSMUSG00000079227,0.995824616,1.54E-08,4.62E-06
ENSMUSG00000030142,ENSMUSG00000024910,1,0,0
ENSMUSG00000040907,ENSMUSG00000037991,1,0,0
ENSMUSG00000051682,ENSMUSG00000041754,1,0,0
MSTRG.148,ENSMUSG00000070531,1,0,0
